homoSapienGeneId	Human_Brain1	Human_Brain2	Human_Brain3	Human_Brain4	Human_Brain5	Human_Brain6	Human_Cerebellum1	Human_Cerebellum2	Chimpanzee_Brain_Male1	Chimpanzee_Brain_Male2	Chimpanzee_Brain_Male3	Chimpanzee_Brain_Male4	Chimpanzee_Brain_Male5	Chimpanzee_Brain_Female	Chimpanzee_Cerebellum_Male	Chimpanzee_Cerebellum_Female	Bonobo_Brain_Female1	Bonobo_Brain_Female2	Bonobo_Brain_Male	Bonobo_Cerebellum_Female	Bonobo_Cerebellum_Male	Gorilla_Brain_Female	Gorilla_Brain_Male	Gorilla_Cerebellum_Female	Gorilla_Cerebellum_Male	Orangutan_Brain_Male	Orangutan_Brain_Female	Orangutan_Cerebellum_Female	Macaque_Brain_Female	Macaque_Brain_Male1	Macaque_Brain_Male2	Macaque_Cerebellum_Female	Macaque_Cerebellum_Male	Mouse_Brain_Female	Mouse_Brain_Male1	Mouse_Brain_Male2	Mouse_Cerebellum_Female	Mouse_Cerebellum_Male1	Mouse_Cerebellum_Male2	Opossum_Brain_Female	Opossum_Brain_Male	Opossum_Cerebellum_Female	Opossum_Cerebellum_Male	Platypus_Brain_Female	Platypus_Brain_Male	Platypus_Cerebellum_Female	Platypus_Cerebellum_Male	Chicken_Brain_Female	Chicken_Brain_Male	Chicken_Cerebellum_Female	Chicken_Cerebellum_Male
ENSG00000198824	16323	11147	19507	4402	6521	683	20032	43008	5707	10556	11230	15863	15281	11544	16720	28608	11319	10025	35754	25529	33036	17171	8282	15798	9942	8859	18088	21545	20703	0	22431	39525	23614	48231	128283	28953	59276	22395	51957	67299	17614	23855	19827	30073	27161	38572	22951	63879	36437	45337	58811
ENSG00000118402	31883	19242	32321	9841	1164	1362	26732	57081	7251	17347	13500	42933	26997	13231	19896	28088	10275	15056	66641	28316	32211	24598	10489	22236	8451	6351	13142	10302	14059	0	24512	24253	16100	43586	110731	19109	47799	18124	29018	24542	4853	10637	9743	45305	29514	30944	32891	14535	10104	18999	25111
ENSG00000166167	102711	80104	141338	59947	23104	14613	56103	105866	55689	62322	52151	118643	91503	51515	58190	82153	76356	73034	241558	77328	104599	151314	66529	77460	56221	83304	158457	75596	80171	0	121740	77443	61152	97799	287819	51920	116930	60614	62983	83391	12002	29947	24133	35055	23993	27870	26182	48973	27102	45324	37759
ENSG00000144724	51020	37861	43906	24645	3968	5653	26365	66177	10486	6387	6618	24987	15246	15021	15848	48244	13811	41920	80398	33451	35221	32292	13037	14671	21362	13459	25651	13247	27429	0	46628	29326	21823	111495	294626	49046	91796	39343	67072	151860	19421	30432	25538	59407	21003	17566	9437	140866	76478	63173	71506
ENSG00000183508	988	1443	760	456	227	456	988	1215	760	912	682	1520	912	1823	1596	2507	4480	1292	6305	2506	4100	1216	760	2150	3645	152	683	379	351	0	1062	756	1140	6862	14051	3035	7895	3642	5620	2743	228	684	532	344	1709	532	531	836	549	2407	2128
ENSG00000008086	27839	10208	20666	12970	2569	1940	4987	11862	4223	873	3075	20425	8455	15076	3714	6699	13850	4110	48798	3489	6660	27146	9544	4770	1016	7037	20283	1764	31985	0	53376	3964	2856	48740	146279	20664	29351	11683	22750	113308	16807	14352	15566	31909	49295	5522	3307	73796	42266	54652	68545
ENSG00000203667	35118	26519	33923	10610	19678	1896	55789	63231	10140	23930	15047	35686	26489	24635	32860	40876	8469	31551	52857	70038	60541	57415	24423	74227	53816	4068	10545	9397	4173	0	4115	13373	8443	13110	29755	4380	13558	4720	13774	9641	2462	1703	2088	18130	11144	13541	13782	5779	4658	4624	7744
ENSG00000134809	25720	12323	25476	19646	13321	3968	18598	26581	12687	19888	12171	14369	16565	12373	8831	16228	25628	23235	36654	15050	20961	27229	11025	8538	7319	12677	27719	5839	5743	0	16912	7679	7202	17276	49693	9142	16126	8622	12852	32858	16614	13088	16144	167212	150645	72294	92561	25289	10488	10053	17767
ENSG00000103642	6630	3430	4836	2120	3284	379	6830	4716	1430	1852	1365	2167	1859	3558	3396	5686	4699	5484	6977	5980	5889	7309	2578	5554	2776	1332	5719	2706	2416	0	2995	3006	3027	13868	40813	6361	13571	5062	7473	14050	2971	4872	3032	33352	20890	43402	34225	8038	4940	13695	13549
ENSG00000163683	19195	10554	18386	13418	8788	1733	9340	26029	2279	5521	5097	9653	5235	6867	4638	9880	1975	4010	15930	6353	7210	3663	3033	1413	1543	3414	5588	3908	3361	0	4874	6334	4870	123715	318019	64515	140243	51794	110291	19002	1727	8439	7550	14818	7797	17580	11692	8112	5199	5620	8189
