Human	Chimpanzee	Bonobo	Gorilla	Orangutan	Macaque	Mouse	Opossum	Platypus	Chicken
ENSG00000198824:3788	ENSPTRG00000023033:3786	ENSPTRG00000023033:3786	ENSGGOG00000009918:3808	ENSPPYG00000005537:2442	ENSMMUG00000023599:3781	ENSMUSG00000047710:4040	ENSMODG00000003128:2568	ENSOANG00000000610:2487	ENSGALG00000016813:2412
ENSG00000118402:3042	ENSPTRG00000018370:2962	ENSPTRG00000018370:2962	ENSGGOG00000009359:2890	ENSPPYG00000016794:945	ENSMMUG00000020208:2960	ENSMUSG00000032262:2146	ENSMODG00000018420:945	ENSOANG00000001290:909	ENSGALG00000015876:1322
ENSG00000166167:6255	ENSPTRG00000002869:6153	ENSPTRG00000002869:6153	ENSGGOG00000005023:5882	ENSPPYG00000002583:6130	ENSMMUG00000006741:6001	ENSMUSG00000025217:2984	ENSMODG00000011788:1888	ENSOANG00000007316:1936	ENSGALG00000007820:1962
ENSG00000144724:9524	ENSPTRG00000015067:6726	ENSPTRG00000015067:6726	ENSGGOG00000006858:6049	ENSPPYG00000013752:4933	ENSMMUG00000012487:5949	ENSMUSG00000021745:9375	ENSMODG00000002722:4448	ENSOANG00000006011:3968	ENSGALG00000007177:5396
ENSG00000183508:5751	ENSPTRG00000001166:5717	ENSPTRG00000001166:5717	ENSGGOG00000004149:5727	ENSPPYG00000000972:1987	ENSMMUG00000004907:3522	ENSMUSG00000044468:5640	ENSMODG00000023227:1194	ENSOANG00000003065:1335	ENSGALG00000014453:1179
ENSG00000008086:3576	ENSPTRG00000021711:2874	ENSPTRG00000021711:2874	ENSGGOG00000010796:3354	ENSPPYG00000020166:3024	ENSMMUG00000005063:3077	ENSMUSG00000031292:3484	ENSMODG00000017140:2589	ENSOANG00000004037:2607	ENSGALG00000016529:2712
ENSG00000203667:2667	ENSPTRG00000030086:2236	ENSPTRG00000030086:2236	ENSGGOG00000028397:2593	ENSPPYG00000000053:445	ENSMMUG00000031175:533	ENSMUSG00000026500:471	ENSMODG00000024669:333	ENSOANG00000019757:633	ENSGALG00000010676:366
ENSG00000134809:672	ENSPTRG00000003659:641	ENSPTRG00000003659:641	ENSGGOG00000012434:647	ENSPPYG00000003272:420	ENSMMUG00000001330:615	ENSMUSG00000027076:815	ENSMODG00000020102:294	ENSOANG00000003812:273	ENSGALG00000004845:484
ENSG00000103642:2148	ENSPTRG00000007143:1641	ENSPTRG00000007143:1641	ENSGGOG00000014658:1943	ENSPPYG00000006536:1641	ENSMMUG00000003544:1964	ENSMUSG00000032370:1972	ENSMODG00000011098:1500	ENSOANG00000014411:1335	ENSGALG00000003505:1856
ENSG00000163683:1701	ENSPTRG00000015997:1657	ENSPTRG00000015997:1657	ENSGGOG00000026483:225	ENSPPYG00000014678:300	ENSMMUG00000020324:240	ENSMUSG00000037822:4869	ENSMODG00000020555:303	ENSOANG00000010335:309	ENSGALG00000014321:811
ENSG00000025800:7378	ENSPTRG00000000471:2207	ENSPTRG00000000471:2207	ENSGGOG00000004016:1647	ENSPPYG00000001603:1482	ENSMMUG00000008455:3962	ENSMUSG00000003731:5910	ENSMODG00000017528:1649	ENSOANG00000003840:1626	ENSGALG00000003383:2991
ENSG00000116786:4204	ENSPTRG00000000205:4094	ENSPTRG00000000205:4094	ENSGGOG00000015173:3961	ENSPPYG00000001840:3833	ENSMMUG00000016281:3838	ENSMUSG00000028917:4214	ENSMODG00000003492:1407	ENSOANG00000005720:3075	ENSGALG00000003439:3487
ENSG00000125037:3013	ENSPTRG00000014606:1081	ENSPTRG00000014606:1081	ENSGGOG00000004087:657	ENSPPYG00000013669:2358	ENSMMUG00000018290:783	ENSMUSG00000030286:1971	ENSMODG00000005371:793	ENSOANG00000013805:1275	ENSGALG00000003738:947
ENSG00000124743:5743	ENSPTRG00000018291:5741	ENSPTRG00000018291:5741	ENSGGOG00000016811:1926	ENSPPYG00000016723:1905	ENSMMUG00000023789:1905	ENSMUSG00000044938:6253	ENSMODG00000018798:1905	ENSOANG00000005777:1987	ENSGALG00000016309:1905
ENSG00000148943:4670	ENSPTRG00000003457:4661	ENSPTRG00000003457:4661	ENSGGOG00000026123:4838	ENSPPYG00000003403:4658	ENSMMUG00000023119:2365	ENSMUSG00000027162:4228	ENSMODG00000009456:594	ENSOANG00000009721:1354	ENSGALG00000012170:4010
ENSG00000188596:3686	ENSPTRG00000005326:3686	ENSPTRG00000005326:3686	ENSGGOG00000008490:3651	ENSPPYG00000004855:3666	ENSMMUG00000019643:3678	ENSMUSG00000054579:3163	ENSMODG00000007823:3661	ENSOANG00000006601:3760	ENSGALG00000011471:3858
ENSG00000110429:2812	ENSPTRG00000003490:2425	ENSPTRG00000003490:2425	ENSGGOG00000001949:2404	ENSPPYG00000003369:3385	ENSMMUG00000006063:2398	ENSMUSG00000027180:7237	ENSMODG00000009829:1227	ENSOANG00000007403:1242	ENSGALG00000006619:1488
ENSG00000009790:3242	ENSPTRG00000001939:2265	ENSPTRG00000001939:2265	ENSGGOG00000006197:2242	ENSPPYG00000000255:2246	ENSMMUG00000022062:2819	ENSMUSG00000037318:2059	ENSMODG00000002520:1655	ENSOANG00000022477:393	ENSGALG00000001373:1659
ENSG00000124882:4619	ENSPTRG00000016166:510	ENSPTRG00000016166:510	ENSGGOG00000003811:2666	ENSPPYG00000014837:510	ENSMMUG00000002313:510	ENSMUSG00000029377:4136	ENSMODG00000019193:486	ENSOANG00000006917:492	ENSGALG00000010864:915
ENSG00000145041:6026	ENSPTRG00000014973:5816	ENSPTRG00000014973:5816	ENSGGOG00000001039:4521	ENSPPYG00000013832:4452	ENSMMUG00000004280:4467	ENSMUSG00000040325:5098	ENSMODG00000011890:4530	ENSOANG00000012792:3433	ENSGALG00000002398:5073
ENSG00000131669:1281	ENSPTRG00000021124:1280	ENSPTRG00000021124:1280	ENSGGOG00000023536:1280	ENSPPYG00000019387:459	ENSMMUG00000014398:1271	ENSMUSG00000037966:1361	ENSMODG00000008842:483	ENSOANG00000020681:288	ENSGALG00000005219:757
ENSG00000184060:2952	ENSPTRG00000008966:1789	ENSPTRG00000008966:1789	ENSGGOG00000004257:1176	ENSPPYG00000008144:1080	ENSMMUG00000009077:1777	ENSMUSG00000020709:1785	ENSMODG00000019196:1104	ENSOANG00000005260:657	ENSGALG00000003319:1270
ENSG00000114744:3778	ENSPTRG00000015520:1420	ENSPTRG00000015520:1420	ENSGGOG00000003255:642	ENSPPYG00000014200:3661	ENSMMUG00000018983:1406	ENSMUSG00000036513:973	ENSMODG00000021267:597	ENSOANG00000009074:857	ENSGALG00000020605:534
